Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
Turkish_Ottoman_lybia_desc;Tripolitania isn't a very rich or populous region of the Old Empire but it is secure. Backed up against the Sahara it is an easy location to hold.;;;;;;;;;;;;;
Turkish_Ottoman_Organise_title;Administrative Reforms;;;;;;;;;;;;;
Turkish_Ottoman_Organise_desc;With our sudden rapid expansion it's time to reform our government and bureaucracy fit to handle the new lands we've been expanding into and all the people it contains.;;;;;;;;;;;;;
Turkish_Ottoman_Arab_title;Accept the Arabians;;;;;;;;;;;;;
Turkish_Ottoman_Arab_desc;After our rightous acquisition of Mecca and the secularisation of the city the Musilm world is quite lost. It's the perfect time to use this to pull the Arbians into our cultural sphere as brothers so we can march into the future together.;;;;;;;;;;;;;
Turkish_Ottoman_ashkenazi_title;Embrace the Jews;;;;;;;;;;;;;
Turkish_Ottoman_ashkenazi_desc;After secularisation suddenly the relgious gruges and bias' of the past seem so distant. It makes no sense to not accept the relgious minorities as equals.;;;;;;;;;;;;;
Turkish_Ottoman_easternanatolian_title;The Eastern Minorities;;;;;;;;;;;;;
Turkish_Ottoman_easternanatolian_desc;With our expanded administration we suddenly have the capactiy to deal with problems that have plagued our flegling nation since its formation. The eastern cultures of Anatolia aren't happy with the current arrangement but with some concessions and a change of attitudes we can make things a lot more comfortable for everyone.;;;;;;;;;;;;;
Turkish_Ottoman_Egyptian_title;Integrate the Misri;;;;;;;;;;;;;
Turkish_Ottoman_Egyptian_desc;The Old Empire had a hard time holding onto the Misri in the end but with our new administration and understanding of the human mind it shouldn't be too hard to spin our image into one of bringing a modern and free future to the world.;;;;;;;;;;;;;
Turkish_Ottoman_Greek_title;The Greek problem;;;;;;;;;;;;;
Turkish_Ottoman_Greek_desc;The Greeks are by far the most rebelious people in our Empire. By accepting the Old Empires failures and providing concessions and limited local government it might be possible to even bring them into viewing us as at least tolerated partners in this world.;;;;;;;;;;;;;
Turkish_Ottoman_balkanminors_title;Balkan Minorities;;;;;;;;;;;;;
Turkish_Ottoman_balkanminors_desc;The Old Empire had a large effect on influencing the cultures of the Balkans. By opening our arms and spread select propaganda it's entirely reasonable to assume we can make good progress in bringing them into cooperating with our republic.;;;;;;;;;;;;;
Turkish_Turan_Caucus_title;Take the Caucasus;;;;;;;;;;;;;
Turkish_Turan_Caucus_desc;The Caucasus are a vital region between us and our goal in the East, it's due time we work on securing it.;;;;;;;;;;;;;
Turkish_Turan_NorthernCaspian_title;Over the Caspian;;;;;;;;;;;;;
Turkish_Turan_NorthernCaspian_desc;Our path to central Asia is blocked by the Caspain Sea. If we are to secure our path we must take the northern Caspian.;;;;;;;;;;;;;
Turkish_Turan_ThroughPersia_title;Through Persia;;;;;;;;;;;;;
Turkish_Turan_ThroughPersia_desc;To get to Central Asia we must push through Persia. While they're not stricktly a part of our greater Turkish Empire they will become an integral part as the connection linking our peoples.;;;;;;;;;;;;;
Turkish_Turan_centralAsia_title;Central Asia;;;;;;;;;;;;;
Turkish_Turan_centralAsia_desc;Central Asia, the home of many Turkic peoples. It's time to use our new Identity to push our rightful claim on the region.;;;;;;;;;;;;;
Solidify_Egyptian_grasp_ottoman_title;Secure Egyptian Claim;;;;;;;;;;;;;
Solidify_Egyptian_grasp_ottoman_desc;It has been some time now since the Oriental crisis and we have managed to keep our grasp on the Egyptians. Using our Modern technology it should be possible to further integrate the region into our Empire.;;;;;;;;;;;;;
Turkish_Turan_XinJiang_title;Push for XinJiang;;;;;;;;;;;;;
Turkish_Turan_XinJiang_desc;The Uighurs of XinJiang rightfully belong in our Turkic Empire where they shall be accepted as brothers instead of being subjected to whatever barbaric rule the Chinese may bring.;;;;;;;;;;;;;
Turkish_Turan_Siberia_title;Steppes of Siberia;;;;;;;;;;;;;
Turkish_Turan_Siberia_desc;The Russian's claim to siberia is nothing compared to our own. It's time to remove these imperialists from land that is rightfully ours.;;;;;;;;;;;;;
Turkish_Turan_Crimea_title;Annex Crimea;;;;;;;;;;;;;
Turkish_Turan_Crimea_desc;Crimea is one of the most improtant parts of the Black Sea. We should move in and take this region to cement out control.;;;;;;;;;;;;;
Turkish_Turan_Coast_title;The Eastern Coast;;;;;;;;;;;;;
Turkish_Turan_Coast_desc;While not part of our full vision for a Pan-Turkic state the Russians are in no position to keep their hold over the northern coast of Asia. We should move in and take it for ourselves.;;;;;;;;;;;;;
Turkish_Turan_Organise_title;Organise Turan;;;;;;;;;;;;;
Turkish_Turan_Organise_desc;Now we have gained control over central Asia we should reorganise our administration to better administer our newly gained territories.;;;;;;;;;;;;;
Turkish_Turan_Hungary_title;Integrate the Hungarians;;;;;;;;;;;;;
Turkish_Turan_Hungary_desc;Having claimed the Steppes of Asia and conquering Hungary we have a rightful cause to integrate the Steppe borne peoples of Hungary.;;;;;;;;;;;;;
Turkish_Ottoman_Hungary_title;Retake Hungary;;;;;;;;;;;;;
Turkish_Ottoman_Hungary_desc;Hungary used to be a part of the Old Empire a long time ago. While only a weak claim we should still use it and bring our Empire to size once again!;;;;;;;;;;;;;
Turkish_Ottoman_Greece_title;Retake Greece;;;;;;;;;;;;;
Turkish_Ottoman_Greece_desc;Newly Independent greece is a central part of our Empire, they must be retaken to be whole once more.;;;;;;;;;;;;;
unknown_soldier_title;War Memorial;;;;;;;;;;;;;
unknown_soldier_desc;Due to our losses in the Great war our people feel like there needs to be a method to commemorate the fallen soldiers.;;;;;;;;;;;;;
embraced_jews_in_austria_title;Grant Equal Rights for the Jewish People;;;;;;;;;;;;;
embraced_jews_in_austria_desc;Emperor Franz Joseph I of Austria bestowed on the Jewish population equal rights, saying "the civil rights and the country's policy is not contingent in the people's religion". The emperor was well liked by the Jewish population, which, as a token of appreciation, wrote prayers and songs about him that were printed in Jewish prayer books. In 1849 the emperor canceled the prohibition against the Jewish population organizing within the community, and in 1852 new regulations of the Jewish community were set. In 1867 the Jewish population formally received full equal rights.;;;;;;;;;;;;;
Bolivian_Coal_title;Bolivian Coal;;;;;;;;;;;;;
Bolivian_Coal_desc;Coal found in south Bolivia would be excelent for our industries;;;;;;;;;;;;;
Brazil_Coal_title;Brazilian Coal;;;;;;;;;;;;;
Brazil_Coal_desc;Coal was discovered in the southern region of Brazil in 1822, and in the city of Lauro Muller in the state of Santa Catarina, Brazil in 1827 by an English company. It's time we further develop this to meet our nations needs.;;;;;;;;;;;;;
USSA_Reform_title;USSA Organisation;;;;;;;;;;;;;
USSA_Reform_desc;The USSA is a new and unstable nation, we are behind the other nations of the world and need to go through a vast amount of reforms and organisation to become a true superpower;;;;;;;;;;;;;
Chilien_Iron_title;Chilean Iron Belt;;;;;;;;;;;;;
Chilien_Iron_desc;The Chilean Iron Belt is a geological province rich in iron ore deposits in northern Chile. It extends as a north-south beld along the western part of the Chilean regions of Coquimbo and Atacama, chiefly between the cities of La Serena and Taltal. We should work on improving and expanding this as best as possible.;;;;;;;;;;;;;
USSA_break_foregin_influences_title;Break Foreign Influence;;;;;;;;;;;;;
USSA_break_foregin_influences_desc;Our brothers on the conitnent have been manipulated by foreign powers, we must work to free them from their tyrants;;;;;;;;;;;;;
SCA_HOL_title;Reclaim Schleswig-Holstein;;;;;;;;;;;;;
SCA_HOL_desc;Schleswig-Holstein has Historically been a part of the Danish Empire and as such we have rightful claim on the territory. We should integrate this land into the Scandinavian Empire;;;;;;;;;;;;;
SCA_EST_title;Embrace Estonians;;;;;;;;;;;;;
SCA_EST_desc;Estonians have deep historical ties to the Finish, after Embracing the Fins it only makes sense to integrate them into our empire next;;;;;;;;;;;;;
SCA_baltic_title;Annex Baltic States;;;;;;;;;;;;;
SCA_baltic_desc;After taking the Estonians into our Empire it only makes senses to bring their southernly neighbours into the fold;;;;;;;;;;;;;
SCA_Karelia_title;Into Karelia;;;;;;;;;;;;;
SCA_Karelia_desc;Karelia is Rightful Finnish territory taken by the Russians, as such it should be out objective to bring it to its rightful home with us.;;;;;;;;;;;;;
SCA_Norway_project_title;Scandanavian Project;;;;;;;;;;;;;
SCA_Norway_project_desc;Scandanavia is home to many, many mountains and rivers. It should be in our means to harness these natural resources using dams and water mills for the purpose of creating a better land to call home.;;;;;;;;;;;;;
SCA_Geothermal_iceland_title;Iceland's Geothermal power;;;;;;;;;;;;;
SCA_Geothermal_iceland_desc;Iceland sits on a vast wealth of Geothermal Energy. Harnessing this for domestic and industrial purposes would greatly increase the quality of life on the Island;;;;;;;;;;;;;
SCA_Purchase_finland_title;Purchase Finland;;;;;;;;;;;;;
SCA_Purchase_finland_desc;We should approach the overlords of the Finish people to seek the possibility of a peaceful transion of territory;;;;;;;;;;;;;
option_disable_colonial_railroading_title;Disable Colonial Railroading;;;;;;;;;;;;;
option_disable_colonial_railroading_desc;Tries to make the Scramble more open\n e.g Britain doesn't always get Nigeria but France can Keep Algeria.\n\n WIP;;;;;;;;;;;;;
IBR_Purchase_Gibralter_title;Purchase Gibralter;;;;;;;;;;;;;
IBR_Purchase_Gibralter_desc;In 1704, during the War of the Spanish Succession, a combined Anglo-Dutch fleet, representing the Grand Alliance, captured the town of Gibraltar on behalf of the Archduke Charles of Austria in his campaign to become King of Spain. Subsequently, most of the population left the town with many settling nearby. As the Alliance's campaign faltered, the 1713 Treaty of Utrecht was negotiated, which ceded control of Gibraltar to Britain to secure Britain's withdrawal from the war. Unsuccessful attempts by Spanish monarchs to regain Gibraltar were made with the siege of 1727 and again with the Great Siege of Gibraltar (1779 to 1783), during the American War of Independence.;;;;;;;;;;;;;
IBR_Iberian_project_title;Iberian Development;;;;;;;;;;;;;
IBR_Iberian_project_desc;Iberia is a rich region filled with many Rivers and mountains suitable for development, using our nadvanced technology and funding we can imporve our home to our whim;;;;;;;;;;;;;
spanish_reconquest_title;Reorganize Colonial Government!;;;;;;;;;;;;;
spanish_reconquest_desc;The Spanish Crown has reasserted itself in South America, we should reinstate the Viceroyalties of the New World immediately.;;;;;;;;;;;;;
colonial_reconquista_title;Begin the Third Reconquista;;;;;;;;;;;;
colonial_reconquista_desc;Due to the chaos of the Napoleonic Wars in Spain, many of its Colonies pursued greater automony or independence from Spain. In 1814, the restored Spanish king, Ferdinand VII, declared the developments in the Americas illegal and sent armies to quell the areas still in rebellion. The restoration was short lived, reversed by 1820 and Spain has lost almost all of its territories in the New World.\n\nNow that Carlos V is the rightful King of Spain, we should begin to once again restore rightful Spanish rule in the New World!;;;;;;;;;;;;
colonial_reconquista_frca_title;Restore Spanish Rule to Guatemala;;;;;;;;;;;;
colonial_reconquista_frca_desc;The so called 'Federal Republic of Central America' is quickly becoming a failed state after their illegal breakaway from Spain, we should seize on this opportunity quickly to use this civil war as an excuse for restoration of Spanish authority in South America proper.;;;;;;;;;;;;
spanish_reconquest_vns_title;The Viceroyalty of New Spain;;;;;;;;;;;;;
spanish_reconquest_vns_desc;New Spain was the first of four viceroyalties Spain created in the Americas, it comprised Mexico, Central America, much of the Southwestern and Central United States, and Spanish Florida as well as the Philippines, Guam, Mariana and Caroline Islands. Now that Spanish hegemony has returned to New Spain, we should organize the territory similar to the old Viceroyalty, with the exception of the Caribbean Islands.;;;;;;;;;;;;
spanish_reconquest_vng_title;The Viceroyalty of New Granada;;;;;;;;;;;;
spanish_reconquest_vng_desc;The territories of the Viceroyalty of New Granada gained de facto independence from Spain between 1819 and 1822 after a series of military and political struggles, uniting in a shortlived republic now known as Gran Colombia. \n\nWith the region now under our control, we should reunify the breakaway states into a stronger single colony.;;;;;;;;;;;;
spanish_reconquest_vop_title;The Viceroyalty of Peru;;;;;;;;;;;;
spanish_reconquest_vop_desc;Peru was the site of many futile attempts by Ferdinand VII to reconquer South America. However, this time the rebellious colonies have been soundly defeated. The Republic of Bolivia, named after the 'El Libertador' must seize to exist as a entity, and will be incorporated into the Viceroyalty of Peru;;;;;;;;;;;;
spanish_reconquest_cgc_title;The Captaincy General of Chile;;;;;;;;;;;;
spanish_reconquest_cgc_desc;The General Captaincy of Chile was incorporated to the Crown of Castile as were all the other Spanish possessions in the New World. The General Captaincy of Chile was first known as New Extremadura (a name subsequently given to a part of Mexico) and then as Indian Flanders. The Captaincy was a part of the Viceroyalty of Peru, we shall now organize it as a seperate entity from Peru;;;;;;;;;;;;
spanish_reconquest_vlp_title;The Viceroyalty of the Rio de la Plata;;;;;;;;;;;;
spanish_reconquest_vlp_desc;The Viceroyalty of the Rio de la Plata was the last to be organized and also the shortest-lived of the Viceroyalties of the Spanish Empire in the Americas, now that the three breakway countries of the region are now under our control, we should re-establish the Viceroyalty to more effectvely rule the region.;;;;;;;;;;;;
return_cores_CGC_title;Return cores to Chile;;;;;;;;;;;;;
return_cores_CGC_desc;Some of the territories of the Captaincy General of Chile are sitll under our administration, we should place it under their control;;;;;;;;;;;;;
return_cores_VNG_title;Return cores to New Granada;;;;;;;;;;;;;
return_cores_VNG_desc;Some of the territories of the Viceroyalty of New Granada are sitll under our administration, we should place it under their control;;;;;;;;;;;;;
return_cores_VLP_title;Return cores to La Plata;;;;;;;;;;;;;
return_cores_VLP_desc;Some of the territories of the Viceroyalty of Rio de La Plata are sitll under our administration, we should place it under their control;;;;;;;;;;;;;
return_cores_VOP_title;Return cores to Peru;;;;;;;;;;;;;
return_cores_VOP_desc;Some of the territories of the Viceroyalty of Peru are sitll under our administration, we should place it under their control;;;;;;;;;;;;
return_cores_VNS_title;Return cores to New Spain;;;;;;;;;;;;;
return_cores_VNS_desc;Some of the territories of the Viceroyalty of Peru are sitll under our administration, we should place it under their control;;;;;;;;;;;;
propose_spanish_federation_title;Imperial Federation of $COUNTRY$ ;;;;;;;;;;;;;
propose_spanish_federation_desc;Now that we have recovered the majority of our Empire it's time for a change. It's obvious our way of governing our colonies before was ineffective, now with our advanced technology and a second chance it's feasible to create a united federation from our numerous peoples;;;;;;;;;;;;
become_spanish_federation_title;Form Imperial Federation of $COUNTRY$ ;;;;;;;;;;;;;
become_spanish_federation_desc;The time is now, we have recieved a response from each of our American colonies and whether or not they choose to accept is ultimetly irrelevant. To the Golden Empire!;;;;;;;;;;;;;
embrace_mexican_minority_title;Embrace people of New Spain;;;;;;;;;;;;;
embrace_mexican_minority_desc;Embrace the people of New Spain into our nation;;;;;;;;;;;;;
embrace_plata_minority_title;Embrace people of La Plata;;;;;;;;;;;;;
embrace_plata_minority_desc;Embrace the people of La Plata into our nation;;;;;;;;;;;;;
embrace_south_minority_title;Embrace people of South Andeas;;;;;;;;;;;;;
embrace_south_minority_desc;Embrace the people of the Southern Andeas into our nation;;;;;;;;;;;;;
embrace_north_minority_title;Embrace people of North Andeas;;;;;;;;;;;;;
embrace_north_minority_desc;Embrace the people of the North Andeas into our nation;;;;;;;;;;;;;
embrace_brazil_minority_title;Embrace people of Brazil;;;;;;;;;;;;;
embrace_brazil_minority_desc;Embrace the people of Brazil into our nation;;;;;;;;;;;;;
embrace_brazil_to_federation_title;Federalise Brazil;;;;;;;;;;;;;
embrace_brazil_to_federation_desc;Thanks to our union of Spain and Portugaul we now have a reason to bring Brazil into our greater federation;;;;;;;;;;;;;
embrace_brazil_to_federation_2_title;Annex Brazil;;;;;;;;;;;;;
embrace_brazil_to_federation_2_desc;After recieving our response from Brazil, it's time to make out move;;;;;;;;;;;;;
NET_SAF_title;Reclaim the Boers;;;;;;;;;;;;;
NET_SAF_desc;Great Britain occupied Cape Town between 1795 and 1803 to prevent it from falling under the control of the French First Republic, which had invaded the Low Countries. Despite briefly returning to Dutch rule under the Batavian Republic in 1803, the Cape was occupied again by the British in 1806. Following the end of the Napoleonic Wars, it was formally ceded to Great Britain and became an integral part of the British Empire.\nWe should reclaim our rightful colony;;;;;;;;;;;;
IBR_French_claims_title;Pyrenees Claims;;;;;;;;;;;;;
IBR_French_claims_desc;There are many people's living in the Pyrenees that are part of a Catalan and Basque Diaspora and as such rightfully belong under the Spanish crown;;;;;;;;;;;;;
option_release_CAN_title;Release Canada;;;;;;;;;;;;;
option_release_CAN_desc;Releases Canada;;;;;;;;;;;;;
option_release_NZ_title;Release New Zealand;;;;;;;;;;;;;
option_release_NZ_desc;Releases New Zealand;;;;;;;;;;;;;
option_release_AST_title;Release Australia;;;;;;;;;;;;;
option_release_AST_desc;Releases Australia;;;;;;;;;;;;;
option_release_TKY_title;Release Turkey;;;;;;;;;;;;;
option_release_TKY_desc;Releases Turkey & adds cores (doesn't release Istanbul/constantinople);;;;;;;;;;;;;
option_add_TKY_title;Add Turkey Cores;;;;;;;;;;;;;
option_add_TKY_desc;Adds Turkish Cores;;;;;;;;;;;;;
consolidate_islands_title;Consolidate the Islands;;;;;;;;;;;;;
consolidate_islands_desc;We must consolidate our hold over the rest oof our Islands;;;;;;;;;;;;;
option_releasables_open_title;Open Releasable Options;;;;;;;;;;;;;
option_releasables_open_desc;Open Releasable Options;;;;;;;;;;;;;
option_releasables_close_title;Close Releasable Options;;;;;;;;;;;;;
option_releasables_close_desc;Close Releasable Options;;;;;;;;;;;;;
IBR_Dominican_title;Reclaim the Dominicans;;;;;;;;;;;;;
IBR_Dominican_desc;We lost the Eastern part of Hispanola to the French from a foolish move made during the French Revolution. It's time to reclaim our lost possesion;;;;;;;;;;;;;
MCD_alexanders_empire_title;Reclaim Alexander's Title;;;;;;;;;;;;;
MCD_alexanders_empire_desc;We have conqoured the length of Alexander's Empire. His glory is now ours;;;;;;;;;;;;;
MCD_claim_greece_title;Claim Greece;;;;;;;;;;;;;
MCD_claim_greece_desc;What is Macedonia if not the origin of Greece's Largest Empire and one of the Largest ever seen. We belong with the Greeks and them with us.;;;;;;;;;;;;;
All_in_on_SWI_title;Claim Swiss Diaspora;;;;;;;;;;;;;
All_in_on_SWI_desc;With the Swiss gone and their neutrality thrown out of European politics, their region and people are up for grabs to any of the surrounding great nations;;;;;;;;;;;;;
CAN_intervine_civil_war_title;Intervine in the Civil War;;;;;;;;;;;;;
CAN_intervine_civil_war_desc;The war next door has caused a stir in our nation, how should we approach it...;;;;;;;;;;;;;
CAN_promote_Pan-Anglo_Ideas_title;Promote Pan-Anglo Ideas;;;;;;;;;;;;;
CAN_promote_Pan-Anglo_Ideas_desc;Our occupation of the US is a difficult one. We should make the occupation easier if we work on establishing and promoting a cultural unity between our people's;;;;;;;;;;;;;
CAN_guarentee_constitution_title;Guarentee the American Constitution;;;;;;;;;;;;;
CAN_guarentee_constitution_desc;The Yankee's aren't happy with our occupation and are resisting us in defence of their liberties. Should we write their consitution into our own government it could limit some of their ire;;;;;;;;;;;;;
CAN_Anglo-American_unity_title;Anglo-American Unity;;;;;;;;;;;;;
CAN_Anglo-American_unity_desc;The demonstrations and agitation is fading, we should jump on this oppertunity to try and pull our brothers closer into our nation and institutions;;;;;;;;;;;;;
IBR_carlists_title;End the Chistino/Carlist Split;;;;;;;;;;;;;
IBR_carlists_desc;The political division in our country has gone on for too long. It's time we institute a nation wide crackdown using our new Brigada de Investigación Social and end this once and for all;;;;;;;;;;;;;
NET_Flanders_title;Reclaim Flanders;;;;;;;;;;;;;
NET_Flanders_desc;Now that Belgium has been dismantled we have a much greater claim on our old lands of Flanders;;;;;;;;;;;;;
SCA_POM_title;Swedish Pomerania;;;;;;;;;;;;;
SCA_POM_desc;Swedish Pomerania existed for nearly 200 years only to be recently lost to the Germans in the Congress of Viena. It is our aim to reclaim this land as our own;;;;;;;;;;;;;
form_scandinavia_2_NEWS_LONG;The lands of the north have come together to form the nation of Scandinavia. A reserved crowd of predominantly blonde men and women filled the main square in Stockholm on Wednesday at 5pm promptly and politely voiced their approval of the new political circumstance. Handshakes, respectful clapping and nods of approval were the order of the day as the evening progressed, with the city emptying by 9pm sharp as requested by authorities. Police reported that one man had been released without charge after shouting ‘hurray for Scandinavia’ outside his home.;;Die Länder des Nordens sind zusammengekommen um die Nation Skandinavien zu bilden. Eine zurückhaltende Menge überwiegend blonder Männer und Frauen füllen den Hauptplatz in Stockholm pünktlich am Mittwoch um Punkt 17:00 und stimmten den politischen Veränderungen zu. Händeschütteln, respektvolles Klatschen und nickende Genehmigung waren die Order an dem Tag als zum Abend die Stadt sich leerte, wie von den Behörden gefordert. Die Polizei berichtet das ein Mann ohne Anklage freigelassen wurde nachdem dieser "Hurray für Scandinavien" ausserhalb seines Hauses gerufen hat.;;;;;;;;x
form_scandinavia_2_NEWS_MEDIUM;The lands of the north have come together to form the nation of Scandinavia. A reserved crowd of predominantly blonde men and women filled the main square in Stockholm on Wednesday at 5pm promptly and politely voiced or nodded their approval of the new political circumstance.;;Die Länder des Nordens sind zusammengekommen um die Nation Skandinavien zu bilden. Eine zurückhaltende Menge überwiegend blonder Männer und Frauen füllen den Hauptplatz in Stockholm pünktlich am Mittwoch um Punkt 17:00 und stimmten den politischen Veränderungen zu.;;;;;;;;x
form_scandinavia_2_NEWS_SHORT;The lands of the north have come together to form the nation of Scandinavia. A crowd of citizens politely voiced or nodded their approval of the new political circumstance.;;Die Länder des Nordens sind zusammengekommen um die Nation Skandinavien zu bilden. Eine Menge von Bürgern äußerste höflich nickend ihre Zustimmung zu den neuen politischen Zuständen.;;;;;;;;x
form_scandinavia_2_title;Unite Scandanavia!;F顤 Br鐰rafolkens V鄟 !;F顤 Br鐰rafolkens V鄟!;;F顤 Br鐰rafolkens V鄟!;;;;;;;;;x;;;;
form_scandinavia_2_desc;By reaching a dominant position in Scandinavia, we can unite the Scandinavian peoples under one banner. We must, in order to do this, have the entirety of the traditional Scandinavia either within our realm, or in our Sphere of Influence. For the good of the brother peoples!;Gr歊e ?l'彋ablissement d'une position dominante en Scandinavie, nous pourrons unir les Scandinaves sous une seule et m瘱e banni鋨e. Pour cela, nous devons avoir l'int嶲ralit?de la Scandinavie traditionnelle au sein de notre royaume ou dans notre sph鋨e d'influence. Pour le bien des peuples fr鋨es !;Durch die Absicherung einer dominanten Position in Skandinavien k霵nen wir die skandinavischen V闤ker unter einem Banner vereinigen. Um dies zu erreichen, msen wir das gesamte Gebiet des traditionellen Skandinaviens entweder innerhalb unseres Reiches oder innerhalb unserer Einflusssph酺e haben. Zum Wohle der Bruderv闤ker!;;Al establecer una posici鏮 dominante en Escandinavia, podemos unir a todos los pueblos escandinavos bajo una sola bandera. Para conseguirlo, toda la Escandinavia tradicional debe quedar dentro de nuestro reino o en nuestra esfera de influencia. ·or el bien de los pueblos hermanos!;;;;;;;;;x;;;;
form_BTC_title;Form A union of Baltic States;;;;;;;;;;;;;
form_BTC_desc;As time has passed we have realised our destiny is not to be one with just our near cultural kin, but instead to be one with those of the entire Baltic region!;;;;;;;;;;;;;
BTC_Scandanavian_union_title;A Scandinavian Union;;;;;;;;;;;;;
BTC_Scandanavian_union_desc;It is our destiny to cover the Baltic sea for ourselves. In this goal it may be of benefit to propose a Union with the newly formed Scandinavian federation;;;;;;;;;;;;;
BTC_benalux_title;Into the Benelux;;;;;;;;;;;;;
BTC_benalux_desc;Our Nation of Baltic States is founded on past history of the Hanseatic league. In this effort it would be worth pushing west and reunifying ourselves with the old trade cities of the Benelux;;;;;;;;;;;;;
embrace_baltic_minority_title;Embrace the Baltic Cultures;;;;;;;;;;;;;
embrace_baltic_minority_desc;If we are to be the unfiers of the Baltics we must treat its' people fairly and bring them into the fold;;;;;;;;;;;;;
BTC_circle_title;Complete the Circle;;;;;;;;;;;;;
BTC_circle_desc;It's time for us to complete the circle and take full control of the Baltic Sea;;;;;;;;;;;;;
SCA_Karelia_2_title;Karelian Claims;;;;;;;;;;;;;
SCA_Karelia_2_desc;The Finnish have expanded their claims to include Karelia, naturally as we see Finland as part of our greater homeland it's on us to expand our claims there also;;;;;;;;;;;;;
CAN_claiming_north_title;Push North;;;;;;;;;;;;;
CAN_claiming_north_desc;These frozen lands our our home, as such it is up to us to expand our claims to encompass the harsh regions to the north;;;;;;;;;;;;;
CAN_consolidate_Quebec_title;Consolidate Quebec;;;;;;;;;;;;;
CAN_consolidate_Quebec_desc;Northern Quebec is a large region that is an integral part of our future nation. We must expand and increase our grasp on this land and pull it into our administration;;;;;;;;;;;;;
YUG_integrate_greece_title;Integrate Greece;;;;;;;;;;;;;
YUG_integrate_greece_desc;After making moves into Greece it would only make sense to integrate them into our Pan-Slavic nation;;;;;;;;;;;;;
invite_greece_to_YUG_title;Invite Greece to Yugoslavia;;;;;;;;;;;;;
invite_greece_to_YUG_desc;We should invite Greece to willingly join our greater nation;;;;;;;;;;;;;
embrace_Greeks_YUG_title;Embrace Greeks;;;;;;;;;;;;;
embrace_Greeks_YUG_desc;The Greeks are a people worthy of joining our nation, body and soul;;;;;;;;;;;;;
YUG_integrate_ROM_title;Integrate Romania;;;;;;;;;;;;;
YUG_integrate_ROM_desc;After making moves into Romania it would only make sense to integrate them into our Pan-Slavic nation;;;;;;;;;;;;;
invite_Romania_to_YUG_title;Invite Romania to Yugoslavia;;;;;;;;;;;;;
invite_Romania_to_YUG_desc;We should invite Romania to willingly join our greater nation;;;;;;;;;;;;;
embrace_Romanians_YUG_title;Embrace Romanians;;;;;;;;;;;;;
embrace_Romanians_YUG_desc;The Romanians are a people worthy of joining our nation, body and soul;;;;;;;;;;;;;
embrace_germans_title;Embrace the Baltic Germans;;;;;;;;;;;;;
embrace_germans_desc;The Germans on the Baltic Coast makke an integral part of our nation and have been historically linked to us via the old Hansa;;;;;;;;;;;;;
